model,llc_value
checkpoints/sort_mid_decay_l1_activation.pth_34,1.0812069
checkpoints/sort_mid_decay_l1_activation.pth_35,1.3973764
checkpoints/sort_mid_decay_l1_activation.pth_36,1.4711256
checkpoints/sort_mid_decay_l1_activation.pth_37,1.4065312
checkpoints/sort_mid_decay_l1_activation.pth_38,1.5075161
checkpoints/sort_mid_decay_l1_activation.pth_39,1.837255
checkpoints/sort_mid_decay_l1_activation.pth_40,2.1026857
checkpoints/sort_mid_decay_l1_activation.pth_41,1.0860445
checkpoints/sort_mid_decay_l1_activation.pth_42,1.7006555
checkpoints/sort_mid_decay_l1_activation.pth_43,1.7392311
checkpoints/sort_mid_decay_l1_activation.pth_44,1.7320092
checkpoints/sort_mid_decay_l1_activation.pth_45,2.037843
checkpoints/sort_mid_decay_l1_activation.pth_46,1.8441693
checkpoints/sort_mid_decay_l1_activation.pth_47,1.413085
checkpoints/sort_mid_decay_l1_activation.pth_48,1.4118997
checkpoints/sort_mid_decay_l1_activation.pth_49,1.405293
checkpoints/sort_mid_decay_l1_activation.pth_50,1.7527614
checkpoints/sort_mid_decay_l1_activation.pth_51,1.7294589
checkpoints/sort_mid_decay_l1_activation.pth_52,1.4385908
checkpoints/sort_mid_decay_l1_activation.pth_53,1.5076503
checkpoints/sort_mid_decay_l1_activation.pth_54,1.6920472
checkpoints/sort_mid_decay_l1_activation.pth_55,1.3180866
checkpoints/sort_mid_decay_l1_activation.pth_56,1.653091
checkpoints/sort_mid_decay_l1_activation.pth_57,1.5425339
checkpoints/sort_mid_decay_l1_activation.pth_58,1.8820181
checkpoints/sort_mid_decay_l1_activation.pth_59,1.744368
checkpoints/sort_mid_decay_l1_activation.pth_60,2.061909
checkpoints/sort_mid_decay_l1_activation.pth_61,1.6768508
checkpoints/sort_mid_decay_l1_activation.pth_62,1.5765795
checkpoints/sort_mid_decay_l1_activation.pth_63,0.98195904
checkpoints/sort_mid_decay_l1_activation.pth_64,1.6312103
checkpoints/sort_mid_decay_l1_activation.pth_65,1.4160848
checkpoints/sort_mid_decay_l1_activation.pth_66,1.7694906
checkpoints/sort_mid_decay_l1_activation.pth_67,2.1593065
checkpoints/sort_mid_decay_l1_activation.pth_68,1.5055354
checkpoints/sort_mid_decay_l1_activation.pth_69,1.4136028
checkpoints/sort_mid_decay_l1_activation.pth_70,0.8900624
checkpoints/sort_mid_decay_l1_activation.pth_71,1.558028
checkpoints/sort_mid_decay_l1_activation.pth_72,1.6932813
checkpoints/sort_mid_decay_l1_activation.pth_73,1.3695352
checkpoints/sort_mid_decay_l1_activation.pth_74,1.5626097
checkpoints/sort_mid_decay_l1_activation.pth_75,1.0012532
checkpoints/sort_mid_decay_l1_activation.pth_76,1.8298335
checkpoints/sort_mid_decay_l1_activation.pth_77,1.5067875
checkpoints/sort_mid_decay_l1_activation.pth_78,1.2652242
checkpoints/sort_mid_decay_l1_activation.pth_79,1.6214966
checkpoints/sort_mid_decay_l1_activation.pth_80,1.1157931
checkpoints/sort_mid_decay_l1_activation.pth_81,0.64079607
checkpoints/sort_mid_decay_l1_activation.pth_82,1.190105
checkpoints/sort_mid_decay_l1_activation.pth_83,1.2807184
checkpoints/sort_mid_decay_l1_activation.pth_84,1.256156
checkpoints/sort_mid_decay_l1_activation.pth_85,0.60334766
checkpoints/sort_mid_decay_l1_activation.pth_86,0.9934878
checkpoints/sort_mid_decay_l1_activation.pth_87,1.5825084
checkpoints/sort_mid_decay_l1_activation.pth_88,1.8286873
checkpoints/sort_mid_decay_l1_activation.pth_89,0.8512938
checkpoints/sort_mid_decay_l1_activation.pth_90,1.3460373
checkpoints/sort_mid_decay_l1_activation.pth_91,1.7635335
checkpoints/sort_mid_decay_l1_activation.pth_92,2.1637425
checkpoints/sort_mid_decay_l1_activation.pth_93,1.6028522
checkpoints/sort_mid_decay_l1_activation.pth_94,0.9718075
checkpoints/sort_mid_decay_l1_activation.pth_95,0.6097016
checkpoints/sort_mid_decay_l1_activation.pth_96,1.0719988
checkpoints/sort_mid_decay_l1_activation.pth_97,1.30509
checkpoints/sort_mid_decay_l1_activation.pth_98,1.6129066
checkpoints/sort_mid_decay_l1_activation.pth_99,1.4143931
checkpoints/sort_mid_decay_l1_activation.pth_100,1.0541557
checkpoints/sort_mid_decay_l1_activation.pth_101,2.160318
checkpoints/sort_mid_decay_l1_activation.pth_102,1.4047264
checkpoints/sort_mid_decay_l1_activation.pth_103,1.8029749
checkpoints/sort_mid_decay_l1_activation.pth_104,1.7905818
checkpoints/sort_mid_decay_l1_activation.pth_105,1.5357314
checkpoints/sort_mid_decay_l1_activation.pth_106,1.4286419
checkpoints/sort_mid_decay_l1_activation.pth_107,0.4244639
checkpoints/sort_mid_decay_l1_activation.pth_108,1.3167936
checkpoints/sort_mid_decay_l1_activation.pth_109,1.6955365
checkpoints/sort_mid_decay_l1_activation.pth_110,1.8424381
checkpoints/sort_mid_decay_l1_activation.pth_111,1.948305
checkpoints/sort_mid_decay_l1_activation.pth_112,1.0004281
checkpoints/sort_mid_decay_l1_activation.pth_113,1.1242229
checkpoints/sort_mid_decay_l1_activation.pth_114,0.29043916
checkpoints/sort_mid_decay_l1_activation.pth_115,2.1070886
checkpoints/sort_mid_decay_l1_activation.pth_116,1.3252982
checkpoints/sort_mid_decay_l1_activation.pth_117,1.8964475
